english,romanized
he was worn out when he got home.,kho chimna haypda wu dura dunu
"if you teach me how to dance, i will show you my hidden scars.","choe gi ngalu zhabtra chab ni ten bachin, nga gi chodup ten jenhong choelu nge"
our fate is in your hands.,nga chi lo tay sa ra choe gi lap kha en
his shoes are brown.,kho gi shoes color dhi brown may
we will be back after the break.,nga break ghi jaab ley thoenwong
he must have stacked them up against the wall.,kho gi dhitsu tsig pung zha zhab wong jang gu
what do you consider your greatest achievement?,choe gi dato tshen gi la bom ra gachi beyi
japan is at peace with her neighbors.,japn di peace bae doenu mena kho ra gi neighbours ngyam
someone's talking.,ga emu chi lo lab dae
it'll come in handy.,kha chey dho wong
it is not known who first invented the wheel.,mashey ty wheel zo mi ga enna
i do not particularly want to do that.,nga ani bay go mano
i cannot make it any clearer.,"dem chi lay, ga dem chi clear lab gob mo"
it is not good enough.,ani gi the mi thub
i delivered a lecture in english.,nga ghi ingkay na paycha tenyi
may i have the key?,dhimi nang mey
"no, i am not mad at you, i am just disappointed.",choe ta bay nga tsib maza. choe ta bay nga lo pham c
i have never worn a tuxedo.,nga tuxedo namya magyen
she went to italy to study music.,mo italy to music lhabjang bay wa songyi
ugyen is capable of anything.,ugyen gacxhi ya bay tshu bay
what time will you be back?,time nam lok wong chie
i watch tv now and then.,nga dato dato ba nara tv ta wong tay
i have never seen my cat act like that.,nga gi jili ani zum baysa hayma mathong
we have all done things we are ashamed of.,nga chay gha ra ghi ngo tshay bi lay bay ye
the food in my country is not very different from that of spain.,na gi zhay go tsu spain da dra nyam dhu
"warm this morning, is not it?",dopa warm du mo
"if you were more ambitious, you could go a long way.",choe ambitious em baa chin choe gi chi bay zaa wong
the rain shows no sign of stopping.,cham chay ne loju ra mindhu
is this good french?,ani french layzum ena
plants require co2 to grow.,plants tshu dhi bom joni dhenlu co go batt
i just want to be perfect.,nga perfect baygo noyi
keep the door open.,goh chee bay zha
i do not know how to reach you.,choe luu ga they bay lab na mashay
the wind is cold today.,dari luma khoesisi bay phu dhey
"just one moment, please.",atsi gu
was anyone in the room?,room na gaya madhoe bu?
he is still sick in bed.,kho dato ya na bay may cha na ra du
hollywood marriages rarely last.,hollywood gi nen ben am chi last me bay
i already know.,nga gi shay
the floor must be kept clean.,khang dey hing sasa bay zha go
i just do not want to be left alone.,nga nga ra che shu ma loe gho ma no
i just decided i would come home early.,nga decide bay yi nga chim na early jogo sey
chime drank a glass of water.,chimi ghi chu glass chi thung nu
i persuaded him to give up the idea.,nga gi kho nekab ko zha da sey
all the people who were here have left.,na doe ni mi tshu gara joyi
i will try to distract them.,nga khong distract bay gay mai.
your composition is the best yet.,choe gi zo mi dhi jigss dhu
you need to leave here at once.,choe dato ra jogo bay
i am very hungry.,nga namisami tto kay chi
he put great emphasis on spoken english.,kho gee english mam tshenshu kaw mai
i am on your side.,nga choe ge side na en
i have got to do something first.,i dangpara la chi bay gop yoe
your suggestion seems reasonable.,choe ghi samchar dhi jung khu yep chi dhi
i slept in front of the tv.,nga tv dong kha ngy dha nu
"i will do it, if you insist.",choe nen ma tup ba chin nga bay gay
"since i had a cold, i did not go visit him.",nga tsadrim thob ni digi nga kho bay sa jo matsub
hang on!,gu na may atsi!
i do not know much more than that.,dhi ley maam mishay
i am sort of tired.,i asti wudu yi
how dare you enter my house without permission!,choe nge chim na nangwa me ba ga gi zue lo
i cannot stay for dinner.,nga dinner na doe mitsub
can you identify the man using this picture?,choe gi me dhi ani paar tabay tshachi ngoezin bay tshub ga?
what a pity!,gamchi phang si si dhu
she put down her thoughts on paper.,mo gi noksam tang mi di dri nu tay
whales feed on small fish.,whales tshu nya chunku tshu za we
i got to the bus stop just after the bus had left.,nga bus stop na hayp chi bus gi ko zha ya si
i am very tired.,nga namay samay wu dhuyi
i thought it was lunchtime.,nimai togi duetshay emay noyi
chime needs help now.,chime charo gobae
she speaks chinese.,mo jamae kha chab mae
go slow.,droe gay jo
there is not a big difference.,khay par bom mindu
she waved her hand to us.,mo gi lab yue bay bae they
he is familiar with japanese culture.,kho japenese gi culture dang familiar yoe
would you be interested in having dinner with me?,nga chikha cheru ghi toh chi zawa jon na
i suppose you want to ask me where i have been.,choe gi nga gaty yoe ga dre go noyi ya
what a pleasure!,gamchi pleasure dhu
my mother made me study.,nga aii gi pecha ta chu yi
i bet stuff like this does not happen to thinley.,kho na dhizum thoen rang me thoen
chime does not like to talk about that.,chime gi ani korlay lo lab goo mee noe way lo
i have not been able to go to school for a week.,nga school na majo ba one week joyi
gyeltshen remembered that mary and john had tried to kill him.,mary dang john gi gyeltshen tsay ni bayi say dato cheri dhu
did not your parents give you anything?,pham gi gach ya majin bu
he apologized to her for being late.,kho late jow da mo lu sorry lab dea
chime said he did not want to eat anything.,chimi ghi kho gani ya za go mano labdey
we cannot reveal classified information.,ani nay tshul dhi lab me tshub
take a shower.,zu chu
they had several children.,kho tshu lu alu laysha du
i see how you did that.,nga ghi shey choe ghi gadey bey baye
"as is often the case with him, he came late.",ani mi dhi nam bay ru chhisu chira een
it is nothing short of a miracle.,yamtsen choe toh toh dhu.
i caught him by the arm before he could fall.,kho bab ri ni bew dha nga gi kho lap zung zha yi
she sang as she walked.,mo lam joyi ra zhadra thoyi
i would like to talk to the doctor alone for a moment.,nga yep tho chi dungtsho kho rang cham chi bey lo lab go bey
they exchanged greetings.,khong laymeen jay soor bayi
please tell me how to get to the airport.,airport gi lab gaty lae enna lab nang mae please
everyone laughed at this mistake.,mi gara khong ge zelwa ge bay gaa doe nu
i am not ready to fight.,nga thab ni ready me
i do not want to hear any more excuses.,excuse na may sa may ma zo
we have to make the most of this situation.,duesthey layshom bey use beygo
i feel good after a workout.,workout tsabay nga deytotok baw may
does it snow much in the winter?,nam guen khaw chab mae bu
be ruthless.,ruthless bay oi
my eyes feel gritty.,nge me tho ma dea kha kha baw mae
i can speak english.,nga gi enkay lab shey
this guy is great.,kho jigs dhu
a man appeared at the door.,bhus chi go gi thama dhu
you are with friends.,nga charo nam yoe
i finished it.,nga zo c
i was at a job interview.,nga yog gi diwa drilen na deyi
he is eager to go there.,he jo go no nu
do not you think tashi and john look alike?,tashi dang jhon same ming dhu
the feeling's mutual.,feelings mutual
education is an investment in the future.,sherig dhi mawongpai matsa tsu mi chi en
i cannot do it right away.,nga ghi dhato rang bay metshu
are you coming to the store with me?,choe nga nyam store na wongni ya
criminals should be punished.,ngen lay ghi la bayme dhi yang cha tani me wong
i do not talk to him anymore.,nga kho nam kha lab ni mi
your son is a genius.,choe bu de layshom du
you are the tallest of us all.,choe nga chey gara ley zu rim dhu
why are you so scared to talk to him?,kho nam lo lap ne drobbay ya
i learned a lot this weekend.,halam lhab chi weekend na
he is kind of handsome.,kho sarim dhu
go now.,dato ra jo
they were better than i expected.,kho tshu dhi layshom dhu nga nome cheb dha dhi
i like playing golf.,nga golf tse ne ga
let us clean up this mess.,cho kha chab gay dabayn
the tubes are clogged.,tubes gara sup dha nu
there is always hope.,raywa dhi yoe ra yoe
so much is happening.,halam che na bew may sa
who do you work for?,choe gagi then lu la bayw mo?
"you will get there in time, so long as you do not miss the train.","choe time nara haewong, train ra miss mabay wa chin"
i have to study for the exam.,nga exam gi doen lu paecha tago
i must obey.,nga ghi nyen gob en
i wish him the very best in his future endeavors.,nga kho ra future gi den lu best ra nodo
you should check your blood pressure.,choe blood pressure check baego bae
you are deceiving yourself.,choe go choe lu shob ma chap
how did you come by this painting?,oi choe ghi tshen hani gha dhey bay dhom chi
you are drunk!,choe drunk ya cc nu
you look tired.,choe wu dung nu mae na
is that why you want to kill me?,choe nga sey go no mi di ani kor lae ena?
i am not as busy as tashi.,tashi nga zum chi ra dayw me
her mother always accompanies her.,mo ama ghi atara mo lu jab chor bew
take out the trash.,ani chha nyi dhi ten dha
he insisted that i join him.,kho gi nga sho sae nen mathub
do not walk out on me again.,walk out mabay may daru.
he spoke well of her son.,mo gi morayi bu gi loju leyshom lab mey
it was time for lunch.,nyima ghi saew ren chi
we have not had to deal with this before.,anzum heyma mabay
this mountain is covered with snow all year round.,ani la di lo tabu ra khawo gi pub faywong
the people rebelled against the king.,mi tshu ghi king lu ngo lodhey.
i finally caught up with my friends.,charo tsu da chay chi
i have explained all of this to you before.,ani tshu gara choe lu hema ley ra lab chi
could you please not smoke in this room?,choe gi room na tam khu ma thung ba chin nga sem gani may
she came out on top.,mo top na thoyi mae
give me your flashlight.,che gi flashlight na
give up smoking if you want to live long.,choe tsay rim bae dey go nowa chin smoke bani zhada
i was able to answer all the questions.,nga ge driwa ge len tshu gayra len chab tshub che
do you want something cold to drink?,khesisi chi thu ni na
i love bananas.,nga ngala gaa
you cannot buy it anywhere but there.,zhoen gaty ley ya nyo matshu ana ley ra nyo go
this dictionary is expensive.,ane tsik zay dhe gong mam may
i just need a hug.,nga hug go bay
he fell asleep immediately.,kho joba ngy thay so nu
i have actually heard of this.,nga gi ani di hoe ma lay ha ho yee
was it all a dream?,ani gara ngyelam ena?
what is that disgusting smell?,ani drim kham lo cc dhi gachi ena?
i hate silent movies.,nga silent movie mi ga wae
nobody will help you.,gagi ya charo mibey choelu
i really do not want to do this.,nga baygo magno
i am a deeply religious man and believe in life after death.,"nga choesem chi yoe, tshey shuma zermi dhi ha go"
can i go swimming this afternoon?,nga dha re afternoon na swimming na jo ga
what is your favorite sport?,choe gi gasho tshe rig dee gachi mo
how long have you known her?,choe nam lay moo ngoe shay chi?
how did you hurt your back?,choe gi gayto dhi ga dhay bay dhungyi
employers sometimes exploit their workers.,la yo jin mi tshu gi thre thre khong rai la baymi tshu lu log chay bew en
this house is very comfortable to live in.,ani chimn dhi deytok tok dhu.
do you have a school uniform?,school uniform yoe ga choe lu?
i need to charge my cell phone.,nga phone charge bay goo bay c.
it made me laugh.,aney gi nga ga chu yee
does not it sometimes just get to you?,ha migo way bu
water is important.,chu kha chay
the factory uses many complicated machines.,zokchim gi thrieche madraw lasha laglen thab may
we are going to invite tashi and mary to our halloween party.,khong nye yang bo nee
i see what you mean.,choe ghi lhab ni tsi chab mi hagoyi
he runs.,kho ju wong
nobody forced you to help me.,gagi ya choe lu force mabay help bay ni doen lu
we are contented.,nga lang yi
"there are a few apples on the tree, are not there?",shing gu apple atsi meen dhu ya?
"from here on out, it is smooth sailing.",ana lu dhi lam gatto tto dhu
please throw the ball.,ball ko wai please
dorji is obviously busy.,dorji lu duetshey mindhu
does the hat fit well?,zham layshom bay tubay ga
pema has three brothers.,pema lu nuchu sum yoe
could you send this letter to japan?,yiggu dhi japan lu kay na may
what have i done?,ya... nga ghi gachi bayi ga
the light is out.,mi ma tay bey
i will go.,nga joni
do not talk about work. we are on vacation.,"la gi korlae malab, nga chey vacation na en"
mt. fuji is higher than any other mountain in japan.,gangri fuji dhi ga ni wa bom gangri chi mae japan na
the ship had three decks.,ship lu deck tsum du
monopolies are bad.,monopolies dhitsu layzhum men
he will be sure to smell a rat if i am with you.,nga choe da chikha yoen kho gi drim tshowong
i wanted to see thinley.,nga thinley go bay
i had that weird dream again last night.,daro nga khatsha chiru nyelam dro sii si thong yii
i am not in love with you.,nga choe lu mi ga
she was making tea.,mo dachi ja zo dey
please answer all the questions.,len gay ra jin la
i paid attention.,nga ge attention gin ye tay
i have absolute confidence in your judgement.,nga gi choe lu raechae bom yoe
the epidemic has been contained.,ani epodemic dhi contained en daben
he is checking his cellphone.,kho julthrun ta dey
who baked this cake?,ani cake dhi gagi zoyi
appearances are deceiving.,dong ghi shob chabi
how did you get caught?,gadey bay caught joyi
carry the bags upstairs.,bags ya ba sa
nobody could explain how the thing was made.,gagi ya explain bay mitsub bay ani chala di gadey bay zoyi gga
i lost my wallet on the way to school.,nga lobdra na jowi lamkha nguelkhu janyii
he took his book.,kho ra gi book bayi
ugyen has been in the hospital for three weeks.,ugyen hospital na dhuenthra chi ya so yi
i study mathematics.,nga tsi ta bi
i stood under a tree to avoid getting wet.,nga sing wolu dheyi gola lem majoni den lu
chime quite often sleeps more than eight hours.,chime maam ra hours wa maam neu mey
i gathered from this letter that he was angry.,kho ley thop thop en kho tsip za doeo da
i would take it as a sign.,nga ani tag tshen dhi ba gay
you have been busy.,busy mae sa choe dari cap chi dhe
we have been friends.,nga chay charo bay dayi
pema is a bit older than mary.,pema the mary lay atsi bom
is bigamy a crime in australia?,bigamy dhi australia na la layshom men ya
i want you to sit with me.,choe nga chi kha dhey
the room has two windows.,khangmi lu gochu nye yoe
you are a talented kid.,choe cho drup chen du
i do not even know what to say to that.,nga dhi gachi lab na ya meshay bay
we will not change anything.,nga chey gi gani ya change bay mitsub
can you shut up?,khatsum bey dey na
are you willing to make a deal?,cheo goen ja zo ne dhang day ena
that is what i expected it to be like.,dhi zum wong zey rabnoyi ba
i told mary i wanted a divorce.,nga kha jelni say mary lu lap chi
i hope you enjoy the show.,choe show dhi tro wa thoen thoen wong nyo wi reywa yoe
i take a bath almost every day.,nga atara zum chhu bi
i think we have wasted enough of our time.,nga ghi choe ghi time enough waste bayi
is this cage shark-proof?,ani cage dhe shark-proof enna
i memorized the poem.,nga gi poem memorise bay yi
i hope this does not ruin our friendship.,i hope nga chey gi ngye gi friendship meb mitam wong sey ani kor lae
ugyen has some nosy neighbors.,chim tshang khay chab me chi du
the bible has it written like this.,bible na day bay dri dhi dhu
look at the setting sun.,sun set lu ta wai
i think tashi is still breathing.,tashi dhi bung tang dhae
light the candles.,candle tsu light bay
you are a nerd.,choe di atara book nam doe go mi chi em bay sa
you remind me of someone i used to know.,choe na mi chi cheri tang chu may
if only i had a pretty dress like that!,nga lu ja chhi chhi chi yoe ba chin!
many leaders supported the compromise.,me bom tshu gi jabjor bew in thuendrel lu
this lawn mower runs on gasoline.,ani lawn mower gasoline na la beu mey
i advise you to change clothes.,gola so di goen pi lab ja
even his servants despised him.,kho ghi jaro tshu ghi ya kho mi ga bay
let us talk to ugyen about that.,ugyen nam lo lab ta gay tayy ani korlay de.
i have more than enough.,nga lu lang bay yoe
we have got enough.,ngachey lam chi yoe
"if it had not been for his help, i would have failed.","kho gi charo ma bay wa chin, nga fail theen soop yong"
i doubt that.,mashay mai
what do you like about him?,gachi gayi kho gi korlay
i paid for the drinks.,nga gi teyi teru chang gi den lu
chime even likes cold pizza.,chime gi cold pizza ya gawong tay
i belong here.,nga na
you do not sound too sure.,de layshom chi enna
his behavior spoke volumes about his upbringing.,kho gi bezha gi kho ra gi kolay gara ten dey
i never touched gyeltshen.,gyeltshen tro ra ma tro may
"ugyen was pacing in his room, unable to calm himself down.","ugyen room na pha tsu jo, kho ra clam ra bay ma tsu"
he lives by himself.,kho kho ra doe ne yoe
we are all going to die anyway.,nga chey gara tsa chi shi wong
we have three days left.,ngachey lu nyim sum luedi yoe
she became scared when she noticed the man following her.,mo dro nu bhus gi kho tingdaw may say shab da
i do not read this kind of book much.,nga dey zum mei lhadep lha ney mi
get out!,thoen song chi kha!
hawaii is a popular tourist resort.,hawaii di popular tourist resort chi en
i thought it was a secret.,sangwai tam enn sey no deyi tey
how was the math test?,tshi gi choenju gadey bey deyi
i have no one else to turn to.,nga ga lu ya turn bay mistubay
we need a bit more time to prepare.,nga chay detshay atshi ho bay prepare bayni ghi doen lay
give me a little time to think it over.,"atsi gu may, nok sam tang gay"
who was that who answered your phone?,ga may ani choe call thu mi di?
he quit.,kho gi bay ma tsub bay
we drive everywhere.,nga vhey gaty ya gari dha jowi
she went to germany to study medicine.,mo germany lu sowa gi paycha tawa yasi
dorji admitted he did not do what we had asked him to do.,dorji ghi ngachay ghi lab me la mabay sey admit baeyi
be calm.,calm bay doe may
i am able to run.,nga gi ju tshub
i have not had dinner.,nge chi ru ge tho ma za
i am about to tell you something important.,nga choe lu lo important chi lab gey
he was intrigued.,kho intrigued
are you seeing anybody right now?,choe datoh ga chi kha mo
we must hurry.,joba beygay
i gather you were hurt.,nga shey chi choe hurt joyi sey
what're you all doing in the library?,choeng gara library na gachi bew
the master praised the slave.,lopen gi lopthru lu ney rang yoep bay lab nu
we hate violence.,nga chey tsu thabzing bay ni mi ga
i dance in my living room all the time.,living room na zhab thra cham wong
i need some nutmeg.,nga kha tsha thang thang chi go bay
that is my business.,nge la en
these keys are not mine.,ani dhi mi tshu nga ghi men.
who is ready for more?,ga ready yoe
i know i heard something.,nga shey nga chi goye
this computer does not work.,ani computer di la mi bae way
they are part of us.,khong dhee ngachay gee mee ra en
how was your birthday?,choe ge kaywi nyim gaday bay doeye
drop it!,zha ma!
we are both insane.,ngachey nye cha ra choe lo enn
that is the way.,anay bay ra en
space travel is no longer a dream.,zamling chekha jone gi nyelam men maray da ben
do not do this.,ani zum ma bay
where are the meters?,meters dhu gaty dhu
i want to get there early so we can get good seats.,joba joo bay sago layshoom na day go bay ngachey tshu
please say the alphabet in reverse.,abc ulta na labsh
i am looking forward to christmas.,nga christmas lu ghu day dhi
now let us get down to work.,yaa daban garaa lok la na jo gay
your eyes are very beautiful.,choe gi mito jawae
he got ready for departure.,kho joni dra de ya so nu
that is the last thing i remember.,ani di last thing may tay nga remeber bay baew gi
no one arrived.,ga ya ma wong
what a bummer!,awwoo wai
technology solved many of the problems.,technology gey kangyel mam ra selew en
the conference ended two hours ago.,tsogdu di chutsey gi hema tsa yee
they are all normal.,khong layshom du
the hail cracked the window.,sew gi godi gara chak tang nu
there is one thing that is bothering me.,nga chi gi bother bay zhap may
he is a creationist.,kho creationist enn
graham greene is a favorite author of mine.,graham greene dhi nge gi tsom pa po ga sho chi enn
keep looking.,ta bay ra day
not all of them are present.,la lo chi mindu
i leave for paris tomorrow.,nga naba paris jodho
i do not like this jacket.,nga ani jacket mi ga wae
i cut classes.,joni mi class na
who is the photographer?,photographer ga mo
some fish are able to change their gender.,fish la lu gender change bay tub
is there a student discount?,student discount yoe ga?
i will go along with your plan.,choe lab mi zum baygay
my mom walked into my room.,ngi ayi room na wongyi si
i suppose i felt a little jealous.,mapa atsi chi mitotsha yi
i can hardly walk.,nga lham ra jomi tsu bay
speak slowly and clearly.,lo golay dang hing sa sa bay lab
is it already open?,haema lay ra go chi dhi yoe ya
his aim is to become a doctor.,kho drungtsho bay ni cha zhi may
"ugyen is a good friend of yours, is not he?","ugyen di choe gi charo cham sho en maena, engush"
chime showed mary something.,chime gi mary lu chala chi tin nu
i see a queen.,nga gi azhi thong yee
you should free those animals from the cage.,aphi sem chen tshu cage lay tang go bay
i did not take it. you can check my pockets.,nga ghi maba. nge ghi hemchu ta
pema seemed distracted.,pema sem yeng sonu
we cannot just sit around and do nothing.,nga chey tsu deybeyra dey bey gani ya mabey ba mitub
call us.,nga chey lu call bay
it was nowhere to be seen.,gatay ya thong sa mindu ani di
the house caught fire.,house fire jo nu
come in.,nang na sho
"i suggest we eat just a little now, and then go out later.",dato atsi za bay tama chikha jogay mena
we are going back to boston.,ngachey boston na lok jo dho
it was really close.,halam chi bay
how about going to see a movie with me?,jo gay nga nam picture tawa
never in my life have i heard or seen such a thing.,"nge life na ha yang mago, thong ya mathong"
i promised him to keep it secret.,nga kho lu promise bayi ani di sangwa bay zha ni sey
nowadays children do not play outdoors.,dari nabai alu tshu chikha tshem tshey be ya mindhu
i support the proposal.,nga...ani dray cha dhi lu ngye leen yoe
i may be wrong.,wrong wong
the whistle of the steam train woke us at daybreak.,ani stream train gi wistle gi nga chay woke at daybreak
is there something in particular that you want to hear?,choe lo chi particular bay nen go noyi ya
i caught him cheating on the exam.,nga gi kho trem chabsa thongyee
there is plenty of light.,afa bheen yoe pe tsha dhu
i would like to pay in cash.,cash bay jin go me noi
i do not know when i will be back.,nga nam lok wong ga mi shey bey
have you read this book yet?,choe ghi ani keydhep dhi lhab tshai yi ga
he has just as many books as his father does.,kho lu ya kidheb apa lu yoe dho zum ra dhu
"actually, that is why i am here.",ani bay ne dhi ghi nga na wong ye tay
people like to talk.,mi tsu lo lap ni lu gasu chi embay
why did you decide to speak about that now?,ani di gi korlay daben gachi bay lab mo
we need supplies.,nga byertsang go bae
i was upstairs.,nga tho kha daye
chime's crying. i know.,chime ngu dey. nga shey
i did not know you were staying at this hotel.,nga gi mashey chie ani za khang na doe bi tsay
i have everything.,nga lu ga chira yoe
i liked this film.,nga ani lok nyen ga.
i will never work for you.,nga choe ngyam nam ya la mibay
i know how hard it is to do that.,ani bay ni dhi hard yoe sey nga ghi shey
come on.,jo gay
i like being with you.,nga choe dha chikha gaway
it goes both ways.,ani lam ja dram na may
shall i close the window?,gochu dham ga
he will explain it to you when he comes back.,kho gi lab wong tama lok wom dha
the plane crashed.,namdu boto re nu
this house is abandoned.,ani chim dhi ko zha zhab enn
the difference between the right word and almost the right word is the difference between lightning and the lightning bug.,lo ngoma dha lo almost ngoma ghi bana kheypar dhi lightning dha lightning bug ghi kheypar embey
it is what i am.,its what i am
do you mind if i turn down the tv?,tv seyb da khey mi ga?
no comment.,comment me
he made it clear that he had nothing to do with the matter.,"kho gi hayma lay ra kab day, kho dhu na bay goop gachi ya me say."
i want to make something clear.,chi toen tey zo gey
everything was going great.,kho lu neytang dro c c chi jung nu
i neither smoke nor drink.,nga thamkhu da chang thung ni mi
is the procedure clear?,ha goi ga procedure tshu
i would be delighted if that happened again.,daru an zum lok bay jung ba chin nga sem gani may
he should have bought some pencils.,kho pencil ngo gop dayi
ugyen wants to come with us.,ugyen nga chi nam jo gay lo
"if you are to succeed, you must work hard.",cho gay go ba chin cho la tsha gyen bay go
perhaps he knows this story.,yanchin kho ge ahne story shay do wong
they are christians.,khong tshu christians embay
what is wrong with you people?,ga chi baew dha mo ani mi tshu
my nose is stuffed up.,ngi hap sub nu
our teacher is a real idiot.,nga chae ghi lopen dhi no sam ra tang mae shae bae
show me another example.,daru atsi ten....thuen ni baydho
please put your cigarette out.,choe ghi tam khu dhi zhadha dato
something has happened to my car.,nga ghi gari gachi chi baynu
when did you first meet him?,choe gi kho first na gaty chayi
i finally got a job.,dhaben nga la chi thob chi
the students divided themselves into three groups.,lobthu tsu datsen sum na gobsha chab nu
i did not pay attention to him.,nga kho lu damn majin
he cleaned it up.,kho gi chayi
do you think it is just a coincidence?,coincidence cham chi en may mayna
ugyen does not have what it takes to be the boss.,ugyen ghi gopen bey thsub pai cho drup mindhu.
none of this makes any sense.,khung ga ney ya mindu ani tsu
i am not sure i want the job.,nga ten ten mi nga ani job go ga mingo ga
how old were you when you moved to boston?,choe boston na jow dha lu lo gamchi dheyi
i know about that.,nga gi shey
volunteers are cleaning up the park today.,kheylangpa tsu dari lingpa chha dhey
let me do it my way.,nga ra ghi way na try baygay.
his father has never scolded him.,apa gi kho tso tha ra ma tang
my parents do not understand me.,nge pham gey nge ko lay me shay way
he could not hold back his tears.,kho kho rai michu ka matsu bay
i should be in charge.,nge responsibility in ty
dorji told mary that she should not go there alone.,dorji gi mary li lab nu mo pha mo ra cham chi ma jo say
he came from another country.,kho tshegyalkhap lay wongm em bay
i am pema's neighbor.,nga pema ghi chim tshang enn
i want to see him very much.,nga kho namey samey ta go noii
you will find out soon enough.,choe gi jo ba ra shey yong
i wrote it for gyeltshen.,nga ghi gyeltshen ghi den lu dri driw en
join us.,ngachey ngyam join bay
today is wednesday.,dari wednesday ean
my hobby is collecting old coins.,nga hobby dhi coin nyem collect beni en
thinley was the one who took this picture.,par tab mi thinley enn
the golden gate bridge is made of iron.,golden gate bridge di iron gi zo zow en mena
do you want to get drunk?,razi go noyi ga?
i do not want to talk to you about this.,nga choe lu ani ko ley lap go mano
he broke his arm playing soccer.,laap cha nu football tshay bay
i need subtitles.,nga lu jurtshing chi goo bay
this is true love.,ani dhi ngoma gi gawa enn
who has a better idea?,cha zhi layshom ga lu yoeb mo
"when does your sister come back from work? i do not know, but i think she will arrive at home a few minutes before me.","choe num la lay nam wong?mashay ,nga tawda mo karma ngye su chigi nge hema wong"
the value of a good education cannot be measured in terms of money.,good education gi value di tiru gi measure bay mitsub
who can tell what will happen in the future?,ga gi lap shay mawong pa na gachi bay wong ga
all the boys are the same age.,bhus gara lo dren drey en
there is no rush.,ma tshap
they all knew.,shay khong tshu ghi
the vote is unanimous.,tshogen gi ga gi ya mishay
i feel like smiling.,nga ga go noh may
this is his.,ani dhi kho ghi eng
my wife had a baby last week.,nga gi aum tsu gi alu kew chi enn
it is none of my business!,ani nga ge la men
i am sure that he is happy.,nga gi shay kho sem gadi yoea say
i want you to be with me.,choe nga da ra zha go bay
thinley says he wants a puppy for christmas.,ugyen ghe aup jesus ghe kewi nym ba rochi go ne lo
i thought it would be fun.,nga gi no yi ani trowa yoep wong say
gyeltshen looks very sick.,gyeltshen dhi nanaw zoom thommay
he is one of my neighbours.,kho nge chim tsang en
i myself will repair that machine.,nga gi chokha chab wong truel diii
dorji became anorexic when he was a high school student.,"kho high school student bay dowb da lu, he was anorexic"
i contacted my parents.,nga apa aie lu labchi
i have not seen him for about three years.,nga ghi kho ma thong ba loo sum ya si
he easily licked his opponent.,kho ra ghi opponnect lick bay nu si
americans have to spend hours figuring out their taxes.,chilip tsu gantha gantha gowo may tax tapni den lu
we are pulling back.,jab shi chap dho nga chay
i want to have fun.,nga trowa toen go noyi
i run a small business.,business chungku chi run bay dho
i am from brazil.,nga brazil ley enn
he can compress the most words into the smallest ideas of any man i ever met.,kho me gaa ghi tshig gachi ya idea chungku chi na zo tshub.
we will have to do this quickly.,nga chey ani joba bay go
our army attacked the enemy during the night.,nga chay magmi tsu gi jamchay tsu thaywa luck nu
gyeltshen is at the door. please ask him in.,gyeltshen gokha yoe. kholu dri dha
i am wet.,nga loem bayi
i want to personally thank you.,nga choe lu kadrin sam go bey
you are very angry.,choe nammay sammay tshib zha nu
it looks like you have lost ten pounds.,choe ten poinds jang nu mena.
they all have come.,khong gara yong nu
i always counted you as a friend.,nga gi choe hema lae ra charo bae tsi ye
that could be a coincidence.,dhi coincidence wong ty
they looked relieved.,kong shaynu
i will pay the bill.,tiru nga gi tra yong.
i hope you are not alone.,choe ra cham men wong noyi rey wa yoe
what does there is a tide imply?,idk bro
thousands of people were deceived by the advertisement.,ani advertisement gi dhi mi halam lu shob chap nu
you are twisting my words.,choe lo gara ju taam may ty
it is good enough.,am chi ghi tub bay
we regret his death.,sem mi sem si yi
dorji liked that.,ani ben dorji gi ga nu may
get out!,chi kha thoen ya song!
i could not get a definite answer from him.,kho ley len tenten chi thob matsub
have you ever been betrayed by a friend?,choe charo gi gukur bay yi ga
i will go along with you as far as the station.,station tsen nga choe nam jo gey
he explained the facts at length.,kho ghe len ngoma bay rem bay lab dhay
what do you call your mother?,aye lu gachi lap mo
you should not have done that. it was wrong.,"choe ani bay ni miwong baty, choe bay mi di wrong en"
they never found out the truth.,khong gi denpa di mathob bay
you cannot blame her for not knowing what she has not been taught.,"choe mo lu blame mabay, mo lu ani toen ra ma toen ba gadey bay shey ni"
i am doing all i can.,nga bey tsu mi bey do
i like movies.,nga movie taa ni gaa
it is kind of boring.,dhi om ngyel wi zhi may
he goes fishing every other day.,kho atara nya zung ba jowmay
he congratulated me on my success.,kho gi nga lu tashi delek yoe lo
i have got a lot of good ideas.,nga lu naykab halam yoe
"i feel better today, but i am not well enough to work.",nga a tshai dra bay san la dhi bay me tshub ni em bay
i saw the game.,game thong yi nga gi
everything's ready.,gara dadri yasi
i will not fail this time.,this time dhi nga fail me then
ugyen introduced mary to his family.,ugyen gi mary kho gi family na introduce baynu
i was still eating when the doorbell rang.,nga toh za dhay yi san go dung dhay
i like to be with my classmates.,classmate nam dhaygo bay
she tried on a new dress.,mo gola sap try bay nu
paper burns quickly.,shoku joba mae tsik jow mae
keep it.,zha da
he is in pain.,kho zu chab dey
i do not want there to be any misunderstanding.,mga chat tsu gi nar ma misunderstandings ming go may
i do not like being told what to do.,"rho gi la bay lab da, nga bay go me ngo bay"
