english,romanized
I'd like to have my blood examined.,nga thra tak zhib bay go bay
I'd like to hear you sing.,nga choe zhabthra then sa nen go noye
I'd like to know what's going on.,Nga yang shay go noi gachi bew ena
I'd like to pay in cash.,cash bay jin go me noi
I'd like to stand.,nga ya long go bay
"I'd like to stay and chat, but I've got a meeting to go to.",zhen dhee nga loo lab dhoe nee en day baw da nga zhenzom na jo go bay
I'd like to talk to the doctor alone for a moment.,nga yep tho chi dungtsho kho rang cham chi bey lo lab go bey
I'd like to talk with you in private.,nga choe da chi kha private na lo lap gay
I'd like you to keep this a secret.,choe gi dhi sangwa bay zhana
"I'd love to go with you to the show, but I'm flat broke.","choe chikha tem ta wa joni trowa yoe ru, nga lu teeru me."
I'll always be here for you.,"choe gi den lu di, nga atara doe wong"
I'll be back in ten minutes.,nga karma 10 gi hayma hay wong
I'll be fine.,khey mi I'll be fine
I'll be more than happy to help.,cha ro bay ni ra mum
I'll buy this.,rate gamchi mo
I'll call you at seven.,nga choe lu seven na call baywong
I'll certainly miss him.,Nga kho miss baee may
I'll come and get you.,Nga wong bay choe drey gay no
I'll come into the office early tomorrow.,nga nba droba wong hiktsnag na.
I'll come right now.,nga wongni
I'll demonstrate.,Nga gi ten jin gay
"I'll do it, if you insist.",choe nen ma tup ba chin nga bay gay
I'll do my very best not to disappoint you.,Nga choe dissapoint ma beyni gi doen lu tsa genwong
I'll finish it later.,nga ghi tama zob bey tang gey
I'll get back to you on that.,nga lok then wong ani na
I'll get in touch with you again about this matter.,ani gi kor lay nga gi choe lu lok shu lay lab gay
I'll get the check.,Nga gi check ba gay
I'll go myself.,nga ngara gi go ni
I'll go.,Nga joni
I'll have to catch the 8:15 train to Paris.,nga time 8:15 na train dha zum bay jo gho
I'll just go.,nga joni
I'll just leave.,khimi nga jo da gay
I'll meet you outside.,Nga choe ngyam chikha chey gey
I'll monitor your progress from my computer.,Nga monitor bay gay may nga rang gi computer nalay
I'll never forget this experience.,Ani yam yong dhi mapa lay jay me tshub
I'll never forget you.,nga choe cheri mapalay mijay
I'll never let that happen again.,Nga dhaben log ane zum me bay
I'll never work for you.,nga choe ngyam nam ya la mibay
I'll pack my bag.,nga bag pack bay doe wong
I'll pay the bill.,tiru nga gi tra yong.
I'll pay you tomorrow.,teru naba tray gay
I'll show you around the city.,nga choe throm zay bay ba gay
I'll show you how it works.,nya choe lu toen zingay ani ga zum la baywong ga
I'll take care of you.,nga cho ta wong ba tay
"I'll take your suitcase to your room, sir.","labay, nga gi choe gi dom ba gin gay"
I'll try to distract them.,nga khong distract bay gay mai.
I'll try to prevent that from happening.,Dhi zum lok thaen michu
I'll wait patiently.,nga gu dey wong
I'm 19.,Nga 19 en
I'm a bit busy.,nga dhay khom me
I'm a deeply religious man and believe in life after death.,"nga choesem chi yoe, tshey shuma zermi dhi ha go"
I'm a little dizzy.,nga atshi dizzy feel bay ye
I'm a little out of practice.,nga atsi practice majo
I'm a little skeptical.,nga dhi asti dokpa yoe
I'm a surfer.,nga tse chab mi en
I'm able to run.,nga gi ju tshub
I'm about to tell you something important.,nga choe lu lo important chi lab gey
I'm adamant that you should go.,choe song say lab chi mena
I'm afraid he cannot come.,kho mewong ni zum chi dhu
I'm always thirsty.,khaa kom chi c nga
I'm amazed at his rapid progress in English.,nga en key gi war gey ta dhi ha leyi
I'm ashamed to ask you such a silly question.,choe lu question dreni ghi yang zaw mae
I'm at the hospital. I got struck by lightning.,"Nga hospital na yoe, lightning gi raychi"
I'm at the restaurant.,nga zakhang na yoe
I'm attentive.,nga ngyen doe mi chi en
I'm aware of all that.,nga gi shay
I'm counting how many people there are.,nga me gamchi yoe ga count bay do
I'm delighted.,nga sem nami sami gayi
I'm doing all I can.,nga bey tsu mi bey do
I'm familiar with such things.,nga familiar en
I'm fat.,motey en nga
I'm fat.,Nga motey yoe
I'm fed up with your constant complaining.,choe gi nyokshay dhi suen ra suen chi
I'm fit.,nga fit yoe
I'm frantic.,nga tshab tshab en may
I'm getting married next Sunday.,nga next sunday ngyen chab dho
I'm getting off at the next stop.,nga next stop nalay thoen ni
I'm glad I did it.,Nga ani bey bey tiktik tang nu
I'm glad to be of some help to you.,nga choe lu charo bay tshub ni gi sem gaye
I'm glad to see you again.,choe lok chay dhi same ga yi
I'm glad to see you're OK.,Nga sem ga yi choe laeshom bay du sey
I'm glad you brought that up.,choe ghi bang dhi dra chi
I'm glad you didn't do it.,choe gi ani ma bay ni di gi sem ga yee
I'm going on a trip.,nga trip na jodho
I'm going to buy a camera for my daughter.,nga gi bum gi then lu camera ngo go bay
I'm going to buy some bread.,nga bread chi nyo go bay
I'm going to do my best.,Nga ra ga bay tshub bay ni
I'm going to join the school orchestra.,nga jobara school orchestra na join bay ni
I'm going to need some more time.,nga time mam go ni may
I'm Gyeltshen's cousin.,nga gyeltshen gi puencha en
I'm here as a tourist.,nga ta shelpa en
I'm hit!,dung yi nga
I'm hit!,nga dung yi
I'm ill.,nga nayi
I'm in charge of shopping.,nga shopping bayni ghi in charge enn
I‘m ironing my handkerchiefs.,nge rumal iron baedho
I'm just a plain old office worker.,nga office worker zum enn
I'm listening.,Nga ngyen do
I'm looking after myself.,nga ra nga ra ta bi
I'm looking for my mobile phone.,nye phone tshay dho sa na
I'm mad at you.,nga choe ta dhi tsib za dhi en
I'm making a documentary.,nga documentary chi zodo
I'm much younger than you.,nga choea lay di halamchi chung
I'm never angry without reason.,nga dhen da me wa tsip za ni me
I'm not a beggar.,nga beggar men mey
I'm not a psychic.,nga rogi sem lhab metsu
I'm not a teacher and don't want to become one.,nga lopen men delay bay ni sem ya mi
"I'm not a university student, but I'm brighter than them.",nga university student menru kho wa dhi nga dra
I'm not allowed to tell what you want to know.,nga choe shay go no mi di lab mi cho
I'm not as busy as Tashi.,Tashi nga zum chi ra dayw me
I'm not as rich as I was.,Nga chub ma dey haema dey dew zum
I'm not drinking tonight.,nga dari chiru gachi ya mithung
I'm not finished yet.,Nga mazo dato ya.
I'm not going to disappear.,nga yel mijo
I'm not going to see you again.,nga choe log methoni may
I'm not in love with you.,Nga choe lu mi ga
I'm not interested in your problems.,chow ghi problem nang trowa me
I'm not intimidated.,nga ma dro
I'm not kidding.,nga Goe dra bayw meen
I'm not mean.,nga may shay
I'm not quitting now.,nga dato la ko mi zha
I'm not ready to fight.,nga thab ni ready me
I'm not ready to go yet.,nga joni ghi dra dri majo
I'm not satisfied.,nga satisfaction ma thop
I'm not sure about this.,mashey ba ani dhi
I'm not sure I want the job.,nga ten ten mi nga ani job go ga mingo ga
I'm not sure what he was thinking.,kho gachi lap ina nga ten ten mi
I'm OK.,nga laeshom bara yoe
I'm OK.,I'm OK.
I'm on my way home from work.,nga chim na la baywa jodo
I'm on the beach playing volleyball.,nga chuye thama ball tsey dhi yoe
I'm on your side.,nga choe ge side na en
I'm Pema's neighbor.,nga pema ghi chim tshang enn
I'm proud of my school.,Nga ani schoo na proud en
I'm ready for a break.,Break take bay ni ready en mai
I'm realistic.,nga realistic enn may.
I'm really angry right now.,nga dato tsip za bay yoe
I'm really happy.,nga ngoma ra sem ga yi
I'm sad.,nga sem shiyi
I'm safe.,nga safe en
I'm saving this seat for Chime.,Chime gi den lu seat zhayi
I'm scared of heights.,nga height lu dro we
I'm shy.,nga ngo tsaw mae
I'm sick of hospitals.,nga menkhang dhi tub chi
I'm sick.,nga nabay en
"I'm sleepy, so I am leaving now.",nga nye du chab chi so nga jo go bay da
I'm so thirsty.,nga na mea sa mea kha kom chi
I'm sorry but I forgot to do the homework.,nga homework bay ni jay so ye
I'm sorry for all the pain I caused you.,sorry nga choe lu ma tub bay ni di gi
I'm sorry that I didn't email you sooner.,"go ma threy, nga choe lu mail joba kay ma tshub"
I'm sorry to have disturbed you.,go ma thaw choe lu trow yi
"I'm sorry, but I can't go with you.","sorry, nga choe ngyam jo mitsub bae"
I'm sort of tired.,i asti wudu yi
I'm starting to get used to the food here.,nga na ge tho dhi zha tshup ya su nu
I'm still in shock.,i dato ya shock na yoe
I'm still trying to solve this problem.,nga ani problem solve bay ni try bay dho sa
I'm studying French because I need it for my job.,Nga rai la gi daenlae goh ni dhigi French lhabdo
I'm stuffed.,nga dase
I'm sure Gyeltshen told you I was coming.,nga gey ten ten shay gyeltshen gey choe lu nga wong ci lab lab wong
I'm sure Gyeltshen will know what to do.,gyeltshen gi shay do wong gachi benna
I'm sure he mistook me for my sister.,kho gi mistook bay nu nga gi sister ensey
I'm sure I can persuade Ugyen.,nga gi shay ugyen gi ngen wong
I'm sure that he's happy.,nga gi shay kho sem gadi yoea say
I'm sure Thinley wouldn't like it.,nga gi shay thinlay gi mi ga sae
I'm sure you're going to enjoy it.,nga gi shay choe ngo ma ra enjoy baywo say
I'm the spokesperson for this organization.,ani lhenkha dhi gi dungchen en nga
I'm tired of working a nine-to-five job.,nga nyam tsey chi dro ba time 9 nay 6 tsen
I'm very glad to meet you.,nga choe da tshay di sem gayi
I'm very hungry.,nga namisami tto kay chi
I'm very much in favor of this.,nga charo gobay
I'm very tired.,nga namay samay wu dhuyi
I'm visiting my grandmother in the hospital.,nga hospital na grandmother chay ba en
I'm waiting for a train.,nga train gu dhi yoe
I'm waiting for my friend.,nga charo lu ghu dho
I'm wet.,loem bayi nga
I'm wet.,nga loem bayi
I'm wide awake.,nga long dhi yoe
"I'm your boyfriend, aren't I?",nga choe ge boyfriend man ya
I've actually heard of this.,nga gi ani di hoe ma lay ha ho yee
I've advertised my house in the newspaper.,ngi gi chim di netsuel na darchab tangyee
I've always liked horror movies.,dre ghi movie ga sa
I've attempted suicide twice.,nga rang so rang ghi tsa ne chay ni bay ye
I've been injured.,nga ma thoen yoe say
I've been meaning to get in touch.,nga chay ni bae ra doe yoe sa
I've brought a cup of coffee.,Nga gi cup of coffee chi bayi
I've come here to help you.,choe charo bay ba wong ye
I've decided to quit my job at the end of this month.,daray gi daw di she we gang lay nga yog nalay thoen ne
I've experienced the same thing.,nga ya di bae yiii
I've explained all of this to you before.,ani tshu gara choe lu hema ley ra lab chi
I've forgotten my email address.,nga gi email address jayso nu
I've got a lot of good ideas.,nga lu naykab halam yoe
I've got bad news.,nyetshuel ngyen ba chi yoe
I've got real feelings for you.,nga choe lu ga
I've got to do something first.,i dangpara la chi bay gop yoe
I've heard that story already.,nga ani sung ngen yi hayma lay ra
I've heard that you can kill werewolves by shooting them with silver bullets.,nga gi di gun gi wolf tsu sey mu tsu say goi
I've lost my umbrella. I must buy a new one.,Nga gi umbrella jangyi. Nga sarb chi ngyo go bay
I've made a decision.,nga gi thachay yi
I've never dated anyone taller than me.,Nga lae rim gaya date ma bay
I've never even had a girlfriend.,nga lu arogaro dhoey ra ma dhoey
I've never seen a more god-forsaken stretch of desert.,nga gi ani zum ata da madrawi desert ma thong
I've never seen my cat act like that.,nga gi jili ani zum baysa hayma mathong
I've never seen so many trees in my life.,nge mitsay na am chi shing thong ra ma thong
I've never tried.,Nga nam ya try ma bay
I've never worn a tuxedo.,nga tuxedo namya magyen
I've spent most of my life here in Boston.,Nga mam ra boston na doe yi tay
I've spent way too much time thinking about this problem.,di problem nang dhuetshey lay sha ya si
I've started bleeding.,nga thra thoeni go tsu nu
I've started learning French.,Nga gi French lhab ni go tsu yo
I've warned you before about this.,nga choe lu hema lay ra lab chi
"If he keeps threatening you, then you should go to the police.",kho ghi hayta mam tsey wa chin thrim sung gakpa na joda
"If I had 25% more income, I'd be more satisfied with my life.",nga gi jacha 25 doru thaep thop pa chin nga samba zoni may
"If I had a dime for every time I heard that, I'd be rich.",ani tsa ray ha ghowo da shiki chi thopn nga chup ya sop Wong
"If I had been rich, I would have given you some money.",nga chub bay wachin nga ge choe lu teru jin jim wong
"If I start eating potato chips, I can't stop.",nga potato chips zawa chin zha mesthu bay cc
"If I were to go abroad, I would go to France.","nga chi gyelkhab jo wa chin, France na jo ni zum yoe."
"If it had not been for his help, I would have failed.","kho gi charo ma bay wa chin, nga fail theen soop yong"
"If it had not been for your advice, I could not have succeeded.",Choe gi nga lu labja majinba chin nga succeed majo jo wong
"If it had not been for your advice, I would have failed.",choe ghi labja menba chi nga failed then yi
"If it were not for water, no living things could live.","water mi ba chen, ga yang ma she ba mi dhay"
"If it's a good day tomorrow, let's go to the river to swim.","Naba zakar layshom yoe ba chin, swimming na jugay chui thama"
"If not now, then when?",dato maben nam bay ni
If only I had a pretty dress like that!,nga lu ja chhi chhi chi yoe ba chin!
"If that happens, call me.",Ani happen bay wa chin call me
"If there is nothing near them that needs doing, they are sure to go and find something.",khong la bayi gani ya mewa chin chala gachi bayru tshey wong
"If they find us, we're dead.",khong gi nga chey tshay thob ba chin nga chey nye shi c
"If this airplane were to be hijacked, what in the world would you do?","ga dhay chi bay airplane dhi hijacked bay ba chen, choe gi ga chi bay yong"
"If you allow me to speak, I'll be able to explain everything.","Choe gi nga lu speak bay chu wa chin, nga gi laeshom bay explain bay tsub tay"
"If you are to succeed, you must work hard.",cho gay go ba chin cho la tsha gyen bay go
"If you can see your breath when you exhale, you know it's cold.","choe ghi breath dhi thong ba chin, cold en sey shey choe ghi"
"If you don't know anything about computers, you're really behind the times.",choe computer kholay ma shen dato dhe jap kha ra lor su nu mai
"If you ever touch me again, I'll kill you.",daru choe nge zu lu lab kay wa chin nga choe say wong may
"If you follow me, I'll show you the way to the hospital.",choe nge teen da wa chin meenkhang gi lam nga gi ten yong
"If you forget to take your pills for one day, take two pills the following day.",choe nim chi na men tsha chi zani jay so ba chin next day na men nee za maray
"If you have a problem with any of this, I need to know now.","choe ani tsu da magaw yoe ba chin , nga datora sheygo"
"If you hear the alarm, walk, don't run.",ting ti k chap dha maju lam dha
"If you keep harping on his flaws, he'll grow to resent you.",choe atara kho ge flaws complain bay wa chin kho ge magaw kay wong ba
"If you push this button, the door will open.","choe ani ni gu aoeb ba chin, gho chi wong"
"If you speak French, I won't understand.",choe french laba chin nga ge hamego tey
"If you teach me how to dance, I will show you my hidden scars.","Choe gi ngalu zhabtra chab ni ten bachin, nga gi chodup ten jenhong choelu nge"
"If you testify against him, we can put him behind bars for good.","choe ghi kho testify bay wa chin, nga chey gi kho tsoen na tsu tshub"
"If you touch that wire, you'll get a shock.",aphi wire dhi tro ba chin shock thob
"If you were more ambitious, you could go a long way.",choe ambitious em baa chin choe gi chi bay zaa wong
"If you're going to apologize, you should do it right away.",Apologize baywachin dato ra bay dha
Imagine that you have a time machine.,time machine yoe sey nosam tang
"In a democracy, it is important that the press be independent.",democracy na press di independent doe ni gi important en
"In all probability, we'll arrive before them.","Ga day bay en ru, nga chay heyma haywong khong lay."
"In case anything happens, call me immediately.",In case gachi bay ru nga lu call chab mae
"In the United States, school buses are yellow.",United States nang school bus di tshu yellow em may
"In their case, it was love at first sight.",ani zum nga gu dhang ba thom chi sem sho se
"Introducing foreign plants, such as palm trees can damage ecosystems.",chigyel ghi tshing dhung tshu na tshu ni zum talai shing tshu rang zing nye tang lu nyeken jung hong
Introverts often find it difficult to make new friends.,introver tshu charo sab zo ne lakha tang ne yoe
Is anybody there?,ga yoe ga mo pha?
Is anyone there?,ani na ga yoe
Is bigamy a crime in Australia?,bigamy dhi australia na la layshom men ya
Is eating fish good for you?,nya zhaw da zu lu phen bu
Is his story true?,kho ghi labmi dhen ga
Is it already open?,haema lay ra go chi dhi yoe ya
Is it always hot like this?,aatara anzum bayra tsep tsa wong ya?
Is it difficult to learn French?,french lhab ni dhi la kha yoep
Is it possible to land a plane on this island?,island na lu namdru cha tsub zum chi dhu ga?
Is it possible to reprint this article?,ani artical di reprint chab tsu ga
Is something else going on here?,Na gachi ra bew ena?
Is that all you want to say?,amchi chi ra enna lo lab ni
Is that really all there is?,afa yoe mi dhi ra ena?
Is that ring made of real gold?,ring dhi gold ghi zo zop ena
Is that so bad?,ani ya
Is that still my room?,nge room enn na aphi de
Is that unusual?,ani unusual mindu ya
Is that what you think I want to hear?,nga dhi ngen go nonow zum thom may bu
Is that why you called?,aney bayni dhi ghi call baeyi ya
Is that why you want to kill me?,Choe nga sey go no mi di ani kor lae ena?
Is the cat on the chair or under the chair?,jili chair in thokha mo holu mo ?
Is the hotel far from here?,hotel di nalay tharingsa ena
Is the procedure clear?,ha goi ga procedure tshu
Is there a flower shop in the hotel?,hotel na meto tshong mi tshong khang du ga?
Is there a student discount?,student discount yoe ga?
Is there another solution?,doru soso neykab chi mi ga?
Is there anything I can do?,help gop mi ga?
Is there something else you want to tell me?,nga lu lap ni soso yoe?
Is there something in particular that you want to hear?,choe lo chi particular bay nen go noyi ya
Is there something there?,apha ga chi chi dhu ya
Is Thinley cleaning his room now?,thinley
Is this cage shark-proof?,ani cage dhe shark-proof enna
Is this good French?,ani french layzum ena
Is this pen yours?,ani che go ngogu enna
Is this radio yours?,ani radio choe gi enna
Is this seat open?,ani seat dhi free enna
Is today Monday?,Dari za migmar ena?
Isn't that true?,ngom ba men ya
It already has taken me hours.,mapalay ra ganta chi lhab chi baye
It can't be helped.,thab mi
It can't wait.,nga gu mitsub
It cost me three hundred dollars to have my car repaired.,Nga gari cho kha chap ni den lay tery 300 hundred dollar goyi.
It could be a coincidence.,takpa tenpa enmay
It doesn't belong to you.,dhi choe gi men
It doesn't make any difference.,Di gi di difference ra mi zo tey
It doesn't matter what I believe.,Nga gi gachi nohow enna lu ra melay
It goes both ways.,ani lam ja dram na may
It has an unpleasant taste.,taste madraw chi dhu
It has been raining on and off since the day before yesterday.,dari naba chab chab dhi ra dayi
It is hardly worth discussing.,ani gi kor lay lo lab ru khung chi min du mena
It is my cat.,dhi nge ghi jili enn
It is necessary to lose weight.,choe weight loose baygoh bay
It is new.,Sap mae.
It is no use arguing with him about it.,kho nam lo lab bay khung chi miii
It is no use your trying to persuade him.,choe kho lu sem jorchey bay dhe khung me
It is not as good as it looks.,ani dhi me kha tshi dhu zum chi ra me ja way
It is out of fashion.,ani dhi dhang phu ghi chi embay
It isn't optional.,ani dhi optional men
It looked cheap.,afi dhi cheap thong yi
It looks like the dog wants something to eat.,rochi de za ni ghi chi gop drey may na
It looks like you had a tough day.,tek tang nu mayna
It looks like you've lost ten pounds.,choe ten poinds jang nu mena.
It made me laugh.,Aney gi nga ga chu yee
It may not be a good idea to eat while you are running.,ju dap dha ju ne de layshom chi men
It might rain. We should take an umbrella.,"nyindu ba go bey, chab chap ni zum chi dhu"
It must have slipped my mind.,ani dhi nga j sop mae
It often snows here.,Na trey tey ra khaw chapni dhu
It really did happen.,ngomara happen bae yoe say
It really was hard.,namey samey lakha chab chi
It takes years to master a foreign language.,foreign language master bayni den lu lo lo bay go
It used to be nearly impossible.,choe chab ni lakha dhu
It was a good choice.,choice laeshom chi du
It was a hoax.,kho gukor chab ni ghi denlu may
It was a perfect moment.,ani dhi moment perfect dhae yi
It was a revelation to me.,ani di nga gi doen lu revelation may
It was a very difficult story to write.,sung di dri ni gi lakha tangyi
It was a waste of time.,Due tshey zoni la mae
It was a wonderful feeling.,sem ga toh toh feel bae yoe
It was awfully funny.,funny dheyiii
It was beginner's luck.,First time bayni digi may
It was cold yesterday.,khatsa bheen khey si si dayi
It was during the ice age that the saber-toothed tiger became extinct.,Ice age time nalu saber-toothed tiger extinct joyi
It was exciting.,na may sa may trowa thoen yi
It was frustrating.,tsip za cc doeyi
It was Gyeltshen that saved the girl.,Gyeltshen deyi mo save bey mi dhi
It was hard for me to turn down his demand.,kho gi demand tshu lu meng go si lab ni lakha ra tangyi
It was hard to believe.,den zi ra ma ri
It was kind of you to help me.,choe laeshom bae nu nga lu cahro bae di
It was Marie Curie who discovered radium.,Marie Curie gi pay tang nu
It was night.,deyi chiru
It was not a complete victory.,hafi dhi victory ra men bay
It was nowhere to be seen.,gatay ya thong sa mindu ani di
It was really close.,halam chi bay
It was Saturday night.,Saturday chiru doeyi
It was time for lunch.,nyima ghi saew ren chi
It was too long.,na mae sa mae rem deyi
It was truly a miracle.,di di ngo ma ra yamtsen che tok tok em bay
It was where Tashi said it would be.,pha dhey yi tashi ghi lab mi na
It wasn't much of a view.,amchi jigs mindu view dhi
It went viral.,viral ya si
"It will be entertaining, if nothing else.","trowa chi dhi thoen dho wong mena,zhoen ga chi ma tub ru"
It works.,la bae may
It would be better to try.,try bay wa chin dra wong
It'll come in handy.,kha chey dho wong
It's 50 yen.,Dhi 50 yen embay.
It's a complicated question.,driwa lhakha chi mey
It's a dead end.,dead end may tay
It's a good school.,ani lob dra dhi layshom yoe
It's a great night to go dancing.,night na zhabthra chab ba jo ni jigs may
It's a legitimate worry.,dhi tshagay lang goop then ra then may
It's a pity when somebody dies.,mi zhen shiw dah sem threw may
It's all been written.,ani gara dri zha nu
It's been so many years.,lo laysha yasi
It's being arranged.,arrange bey dey
It's characteristic of him to behave like that.,kho gi bayzha men
It's cold in here.,na jang mae sa
It's completely irrational.,completely irrational en may
It's dangerous to text while crossing the road.,lam gyel we kam lu yeg threl tang ne dhe ngang kha yeo
It's dark.,na dhung dung amy
It's deer season.,its deer gi season
It's difficult to help people that don't want your help.,mi charo beyni lhakha dhu
It's driving me crazy.,nga pysco jo chu do
It's easy for monkeys to climb trees.,chha ge shing gu zey ni jam
It's good enough.,Am chi ghi tub bay
It's hard to admit to yourself that you are a failure.,"choe choera tsaka matsi ni dhighi, choe ra hagoni lu lhakha en"
"It's heavy, but I can manage it.",ani lakha dhu but nga bay tsub
It's human nature.,Mi gi rangzhin mey ty
It's illegal to park your car here.,naa numkhor park bey tha mechoe
It's impossible.,Ani di mapa lae bae mitsub
It's in the garage.,garage na yoe
It's kind of boring.,dhi om ngyel wi zhi may
It's me!,nga en
It's more complicated than I originally thought.,nga ghi nosam tang mi lay la kha dhu
It's morning here in my time zone.,nga chay gi na di droba enn
It's never too late to start.,start bay ni ga late ra majo cc
It's none of my business!,ani nga ge la men
It's normal for you to feel a bit woozy.,choe woozy feel bayni dhi normal en
It's not a date.,ani de date man
It's not a virus.,Dhi virus men
It's not as easy as you think.,ani jamsho chi men bay choe nosam tang dho zum
It's not fair to attribute your failure to your parents.,"choe choera tsa kha matsi wa, parents lu kha key ni dhi its not fair"
It's not good enough.,ani gi the mi thub
It's not his style.,Kho gi style men bay
"It's not how much you know, but what you can do that counts.",choe gi gamchi shay ga menba. choe gi gachi bay tshup ga ra lay
It's not known who first invented the wheel.,mashey ty wheel zo mi ga enna
It's not like that.,ani zum men
It's not that cold.,mi jangmey
It's not that nice.,Amchi nice dhi mindu
It's not worth the money.,ammchi worth mindhu
It's nothing short of a miracle.,Yamtsen choe toh toh dhu.
It's nothing to be alarmed about.,alarmed joni gi doen da mindu mena
It's obvious.,taw da ra shey bay
It's on its way.,dhe lam kha yeo
It's on the eighth floor.,thok gayp na enmay
It's poison.,dhi dhu innn
It's the next logical step.,dha next dhi logical step en
It's the only logical explanation.,ani ra may tay logical explanation
"It's time for me to go, kids.","alu, nga jo ne ren ye tha"
It's too late for apologies.,Zoe soel lab dhe che soi
It's too late for me.,dha nga che ra che c
It's up to you and me.,di choe da nga lu en
It's warm here all the year round.,na lu dhi atara warm bae dhae yong
It's what I am.,its what i am
Italy is a peninsula.,italy dhe peninsual na en lo
Japan is at peace with her neighbors.,japn di peace bae doenu mena kho ra gi neighbours ngyam
Japan's rice market is closed to imports.,Japan gi shum tshu nang dren bay ren dho
Join us.,join bay ngachey
Join us.,ngachey ngyam join bay
Jorge can speak four languages.,Jorge gi khakay zhi shay bay
"Judging from the look of the sky, it is likely to rain.",nang kha taw dha chab chap ni mae
"Judging from the look of the sky, it may rain this afternoon.",nam kha tawachin tama charp chab be zum dhu
Jump.,chong
Just a minute.,Atsi chi gu mey
Just ignore it.,ko zha da
Just let me handle this.,Nga handle baygay
"Just one moment, please.",atsi gu
Just say no.,main labdha
Just tell me what happened.,gachi beyi ga lab mey
Keep it.,zha da
Keep it.,zha da
Keep looking.,ta bay ra day
Keep me informed.,nga lu lab dhi ra dhey mae
Keep the door open.,Goh chee bay zha
Keeping a diary also gives us a chance to reflect on our daily life.,gachi ra bew ena dri zhaba chin rang gachi bew ena shey tshup enn
Kiss me.,kiss me
Kiss me.,Kiss me.
Kyoto is the former capital of Japan.,hema Japan ghi tewa dhi Kyoto doe yi
Let him in.,kho nang na zi machu
Let it be.,Zha dha
Let me answer Pema's question.,let ghi driwa len chab gay nga ghi
Let me do it my way.,nga ra ghi way na try baygay.
Let me do this.,Nga ge baywong ani
"Let me finish, OK?","Haymara nga tshagay, tub?"
Let me get you something to drink.,choe thung ni gi gachi chi ba wongay
Let me go.,nga tang da
Let me in.,nga ya zoe gay
Let me introduce you to a new way of doing that.,kalay nga ten gay gatay ba bay go ga
Let's all help Tashi.,Gara tashi na charo bay gay
Let's all take a deep breath.,nga chay gara bu lengay
Let's ask a travel agent.,travel agent da chi kha kha lap gay
Let's begin at the beginning.,first lay go tshu gay mo
Let's call it a day.,amchi bay zhagay dari
Let's check the map.,map tagay.
Let's clean up this mess.,cho kha chab gay dabayn
Let's do our job.,nga chey rai la baygay
Let's drop by his house.,kho gi chem na zha nang
Let's get back to the boat.,chab ba jogay mayna
Let's get off here.,na thoen gae
Let's go outside and eat.,chikha jodhi ghi to za gey
Let's hope for the best.,Leyzum jochu sey moenlam tabgey.
Let's hurry up.,joba bay c.
Let's leave her alone.,mo maa tro waa zha
Let's not pretend otherwise.,pretend ma bay gay
Let's not waste our money.,tiru waste mabay gay nga chey
Let's take a trip.,shay wa jogey
Let's talk to Ugyen about that.,Ugyen nam lo lab ta gay tayy ani korlay de.
Let's turn and go back now.,lok gi bay jo gay da di
Life isn't easy.,mitshay jamtok tok mi
Light the candles.,candle tsu light bay
Lighten up.,na nyen may
Listen.,ngyen
Lock your door.,gho dung n
"Long, long ago, there lived an old man and his wife.",hema hema agay chi da kho rai aum tsu chi doe nu
Look at the map on the wall carefully.,wall na yoe mi map tash
Look at the meter.,Tshey gu ta
Look at the setting sun.,Sun set lu ta wai
Look at this.,ani dhi tash
Lunch is ready.,luch reday ya si nu
Madrid is the capital of Spain.,Madrid di spain gi Gyalsa Tewa enn
Make a list.,list chi zo
Make your choice.,Choe gi choice
Many leaders supported the compromise.,me bom tshu gi jabjor bew in thuendrel lu
Mary is a widow.,marry dhi widow en
Mathematics is not just the memorization of formulas.,math di formala cheri zha ni cham chi men cc
May I borrow your eraser?,Eraser atsi na may
May I have the key?,dhimi nang mey
"May I see a menu, please?",Menu chi tagay
May I talk to you?,nga choe nam lo lab tub ga
May I use your phone?,phone use baygay
Maybe Chime will help us find Mary.,Nam chi gi tshey Chimi gi Mary da dhung jin ni lo
Maybe Gyeltshen was trying to warn us about something.,Gyeltshen gi nga chey lu warn bay ni try bae bee dre mena
Maybe I should take this.,ani nga gi bago ni mae
"Maybe I shouldn't tell you this, but I am truly mesmerized by your beauty.",yeng lu si choe gi zushi ta bay
Maybe Tashi won't go to Boston on this trip.,Yangchin Boston gi Tashi mi tsu lo
Maybe there's a better way to do this.,Ani la bay ni gi thab shay drab chi yoe dho wong
Maybe we should pray.,Nga tawachin nga chey tsu moenlam tab go boe
"Me, too.",nga ya
Might I ask your name?,choe ming gachi ena dre cho ga
Mine is better than yours.,nge ghi dhi layzoom dhu choe lay
"Mom, can Tashi stay for dinner?","ama, Tashi chiru gi toh na za wa tub ga?"
Monopolies are bad.,Monopolies dhitsu layzhum men
More than five-hundred were wounded.,me nap ja lay lhab lu ma ken jung nu
Mt. Fuji is higher than any other mountain in Japan.,gangri fuji dhi ga ni wa bom gangri chi mae japan na
My aunt grows tomatoes in her garden.,nge gi ama gi dum ra na lam men dha kay wong
My aunt treats me as if I were a child.,nga ge aunt ge nga alu zum treat bew may
My baby has a hereditary disease.,ngye alu lu za tsang lay pa jo wai ney zhe yoe
My bag is too old. I must buy a new one.,Nge bag dhi nim thay sui. sarp chi nyp go bay
